,Boat Type,Length,Width,Views,Price_USD,Country,City,t3,Age
1016,Bowrider,5.94,2.54,70,53588.75,Germany , Bayern ,new,5
1017,Sport Boat,5.97,2.54,54,53588.75,Germany , Bayern ,new,5
1025,Deck Boat,8.0,2.5,90,53748.924999999996,Turkey , onbekend,new,7
1026,Sport Boat,5.97,2.54,67,53748.924999999996,Germany , Bayern ,new,5
1027,Sport Boat,6.52,2.44,64,53748.924999999996,Germany , Kiel,new,4
1035,Pilothouse,7.48,2.53,164,53695.174999999996,Switzerland , Bielersee ,new,5
1036,Center console boat,6.96,2.5,140,54450.899999999994,Portugal ," Parchal, Portugal",new,5
1037,Bowrider,6.25,2.2,56,54384.25,Germany , Ostsee ,new,4
1039,Sport Boat,5.94,2.54,99,54244.5,Germany , Berlin ,new,5
1040,Bowrider,6.25,2.44,74,57437.5,United Kingdom ," LINCOLN, Royaume Uni",new,7
1043,Pilothouse,6.71,2.54,74,54083.25,France ," LA GRANDE MOTTE, France",new,4
1045,Deck Boat,6.86,2.52,50,53965.0,France ," LA ROCHELLE, France",new,5
1047,Cabin Boat,7.15,2.48,281,59440.513999999996,Switzerland , Bouveret,new,4
1052,Bowrider,7.23,2.55,161,61840.729999999996,Switzerland , Neuenburgersee ,new,4
1053,Pilothouse,6.77,2.54,270,55900.0,Germany , auf Anfrage,new,4
1069,Deck Boat,6.86,2.46,70,61187.5,United Kingdom ," Swanwick, Swanwick",new,5
1071,Center console boat,7.26,2.48,129,57671.6,Austria , Wr. Neustadt,new,4
1072,Sport Boat,6.0,2.0,63,57056.99999999999,Denmark , Svendborg,new,5
1074,Bowrider,5.99,2.21,153,57582.375,Germany , Baden-W¼rttemberg ,new,4
1077,Bowrider,6.48,2.46,44,57511.424999999996,Germany , Kieler Bucht mit Fehmarn ,new,4
1088,Pilothouse,7.48,2.53,218,58576.75,Germany , 86368 Gersthofen  - Augsburg,new,5
1089,Motor Yacht,6.74,2.55,187,64731.1,Switzerland , Neuenburgersee ,new,4
1090,Bowrider,5.94,2.54,82,58447.75,Germany , Berlin ,new,4
1091,Sport Boat,5.94,2.54,36,58447.75,Germany , Berlin ,new,4
1092,Sport Boat,5.94,2.54,79,58447.75,Germany , Berlin ,new,4
1093,Bowrider,5.94,2.54,101,58447.75,Germany , Berlin ,new,4
1095,Sport Boat,6.99,2.56,71,58200.5,France ," granville, granville",new,4
1097,Cabin Boat,6.2,2.4,317,58163.95,Germany , Lake Constance ,new,4
1098,Bowrider,5.94,2.54,95,58125.25,Germany , Berlin ,new,6
1110,Pilothouse,7.76,2.86,348,59123.924999999996,Germany , Kieler Bucht mit Fehmarn ,new,4
1132,Pilothouse,7.48,2.53,24,60200.0,France ," Antibes, Antibes",new,5
1138,Center console boat,7.26,2.48,52,60200.0,France ," LES SABLES OLONNE, France",new,4
1141,Center console boat,7.26,2.48,85,60200.0,France ," SAINT GILLES CROIX DE VIE, France",new,4
1142,Bowrider,5.49,2.31,180,66438.946,Switzerland , Stansstad,new,5
1145,Bowrider,8.4,2.8,363,61312.625,Germany , Lake Constance ,new,4
1152,Deck Boat,7.8,2.55,96,61275.0,Italy , Venezia,new,5
1156,Center console boat,6.86,2.48,28,61275.0,France ," PORNICHET, France",new,4
1157,Center console boat,6.41,2.48,41,61275.0,France ," Cogolin, France",new,4
1158,Bowrider,6.82,2.45,67,62457.5,Germany , Bayern ,new,4
1170,Center console boat,6.41,2.48,47,62350.0,France ," 06600, France",new,4
1190,Cabin Boat,6.9,2.48,62,63962.5,Germany , Bayern ,new,4
1192,Sport Boat,7.45,2.5,144,63962.5,Switzerland , Lake Constance ,new,4
1196,Pilothouse,6.6,2.5,64,63962.5,Slovenia , LJUBLJANA,new,5
1210,Cabin Boat,6.5,2.5,136,64392.5,Germany , Nordrhein-Westfalen ,new,5
1217,Sport Boat,6.48,2.46,77,64392.5,Germany , Bayern ,new,4
1219,Cabin Boat,6.3,2.5,177,64392.5,Germany , Konstanz-Dettingen,new,5
1222,Bowrider,6.55,2.54,57,64543.0,Germany , Berlin ,new,4
1223,Bowrider,6.55,2.54,137,64543.0,Germany , Berlin ,new,4
1224,Bowrider,6.55,2.54,112,64543.0,Germany , Berlin ,new,4
1225,Bowrider,6.55,2.54,170,64543.0,Germany , Berlin ,new,4
1237,Deck Boat,8.1,2.5,84,66757.5,Spain ," Ma³-Mah³n, Espagne",new,5
1246,Sport Boat,7.48,2.53,78,66596.25,Germany , Schleswig-Holstein ,new,4
1247,Fishing Boat,7.41,2.49,86,66542.5,Germany , Berlin ,new,5
1248,Pilothouse,7.48,2.53,22,66542.5,France ," LE CROUESTY, LE CROUESTY",new,4
1249,Sport Boat,6.2,2.4,79,73347.26,Switzerland , Luganersee ,new,4
1250,Bowrider,6.1,2.5,110,66341.47499999999,Germany , Lake Constance ,new,3
1252,Bowrider,6.55,2.54,77,68133.5,Germany , Berlin ,new,4
1253,Bowrider,6.55,2.54,53,68133.5,Germany , Berlin ,new,4
1255,Sport Boat,6.8,2.55,294,75224.352,Switzerland , Lake Constance ,new,4
1257,Pilothouse,6.45,2.47,248,67731.45,Switzerland , Stansstad,new,5
1270,Pilothouse,7.9,2.81,29,69337.5,France ," Andernos, France",new,4
1273,Sport Boat,6.48,2.46,67,69326.75,Germany , Baden-W¼rttemberg ,new,5
1274,Runabout,6.9,2.5,90,76615.686,Switzerland , Avenches,new,5
1276,Sport Boat,7.42,2.5,45,68497.0,Denmark , I vores udstilling,new,4
1277,Sport Boat,7.18,2.6,35,69203.125,Spain , Denia,new,5
1280,Sport Boat,6.94,2.57,192,76380.5,Switzerland , Walensee ,new,6
1281,Sport Boat,6.95,2.55,166,76380.5,Switzerland , Romanshorn ,new,4
1283,Pilothouse,7.48,2.53,32,68888.15,Portugal ," Parchal, Portugal",new,6
1301,Deck Boat,7.8,2.45,76,69875.0,Italy , Venezia,new,5
1303,Deck Boat,8.1,2.5,23,69875.0,France ," ARCACHON, ARCACHON",new,5
1313,Center console boat,8.1,2.0,94,70996.22499999999,Spain ," Palma, Espagne",new,4
1315,Pilothouse,7.12,2.79,62,70950.0,France ," Antibes, Antibes",new,6
1316,Center console boat,7.19,2.52,53,70950.0,France ," VANNES, France",new,4
1318,Pilothouse,8.23,2.79,179,70939.25,Germany , Gersthofen,new,4
1319,Sport Boat,7.48,2.55,244,70939.25,Germany , Bayern ,new,4
1320,Sport Boat,7.65,2.5,106,70842.5,Germany , Hock Boote ,new,6
1321,Center console boat,8.17,2.53,23,70842.5,France ," LE CROUESTY, LE CROUESTY",new,4
1324,House Boat,9.28,3.06,84,74993.75,United Kingdom ," Chatham, Chatham",new,6
1325,Deck Boat,6.99,2.73,28,70735.0,France ," benodet, France",new,6
1326,Sport Boat,6.71,2.54,97,74937.5,United Kingdom ," Walton-on-Thames, Walton-on-Thames",new,6
1328,Cabin Boat,6.6,2.1,85,72902.2,Germany , Bayern ,new,5
1337,Pilothouse,8.7,2.55,162,72347.5,Germany , auf Anfrage,new,4
1338,Bowrider,6.4,2.55,205,79897.3,Switzerland , Lake of Zurich ,new,3
1343,Motor Yacht,7.15,2.5,72,74067.5,Germany , Hock Boote,new,9
1345,Deck Boat,7.62,2.53,144,74067.5,Germany , Flensburger Frde ,new,5
1346,Fishing Boat,6.2,2.54,48,74067.5,France ," Ajaccio, France",new,5
1347,Deck Boat,6.5,2.5,83,74067.5,France ," PORNICHET, PORNICHET",new,5
1373,Deck Boat,6.28,2.45,113,82997.579,Switzerland , Lake Constance ,new,5
1379,Cabin Boat,7.75,2.5,163,74981.25,Switzerland , Lake Geneva ,new,4
1382,Center console boat,7.0,2.5,113,74927.5,Italy , Toscana ,new,4
1383,Pilothouse,6.71,2.54,25,74873.75,France ," BORMES LES MIMOSAS, France",new,4
1397,Runabout,8.05,3.0,65,75248.925,Germany , Kieler Bucht mit Fehmarn ,new,4
1398,Center console boat,7.19,2.52,76,76862.5,France ," ARZON, France",new,4
